years,months,Anxiety,Stress,Panic,Depression,Mental_Health,counts,date,Anxiety_Percentage,Stress_Percentage,Panic_Percentage,Depression_Percentage,Mental_Health_Percentage
2006,1,120,260,90,165,16,353619,2006-1,0.033934828,0.073525461,0.025451121121885415,0.046660388723456604,0.004524644
2006,2,123,314,98,215,23,456151,2006-2,0.026964755092063815,0.068836854,0.021484113813189053,0.047133514998322926,0.00504219
2006,3,156,406,141,287,31,568489,2006-3,0.027441164208982058,0.071417389,0.024802590727349166,0.050484705948575966,0.005453052
2006,4,110,290,114,188,15,438392,2006-4,0.025091698753626893,0.066150842,0.026004124162849685,0.042883994,0.003421595
2006,5,90,250,96,156,18,341021,2006-5,0.026391336603904157,0.073309268,0.028150759044164437,0.045744983,0.005278267
2006,6,125,373,219,218,22,575038,2006-6,0.021737693856753813,0.064865278,0.03808444,0.037910538086178655,0.003825834
2006,7,148,403,241,195,22,587217,2006-7,0.025203630003899753,0.068628803,0.041041046,0.033207485,0.003746486
2006,8,142,423,228,213,35,631815,2006-8,0.022474933327002365,0.066949977,0.036086513,0.0337124,0.005539596
2006,9,108,317,185,182,27,498944,2006-9,0.021645715751667523,0.063534184,0.037078309,0.03647704,0.005411429
2006,10,135,410,213,213,26,584848,2006-10,0.023082921,0.070103685,0.036419719311684404,0.036419719311684404,0.0044456
2006,11,135,391,190,298,28,560396,2006-11,0.024090107709548246,0.06977209,0.033904596,0.053176682203299096,0.004996467
2006,12,92,334,176,192,25,482029,2006-12,0.019085989,0.069290437,0.036512326,0.039831628387503655,0.00518641
2007,1,40,149,62,81,19,219353,2007-1,0.018235446973599634,0.06792704,0.028264943,0.03692678,0.008661837
2007,2,41,203,78,86,18,293493,2007-2,0.013969668782560401,0.069166897,0.026576443049749057,0.029302232,0.006133025
2007,3,125,420,164,230,33,591553,2007-3,0.021130820061769612,0.070999555,0.027723635921041732,0.038880709,0.005578536
2007,4,117,398,194,203,25,572300,2007-4,0.020443823,0.069543945,0.033898305,0.035470906867027786,0.004368338
2007,5,108,408,170,188,33,506638,2007-5,0.021316996,0.080530872,0.03355453,0.037107363,0.006513526
2007,6,96,368,169,164,25,483789,2007-6,0.019843361465432245,0.076066219,0.034932584,0.033899076,0.005167542
2007,7,123,459,181,250,31,604828,2007-7,0.02033636,0.075889344,0.029925863,0.041334065221848196,0.005125424
2007,8,134,495,231,258,32,624388,2007-8,0.021461014625521312,0.079277629,0.036996226705189726,0.041320460995406705,0.005125018
2007,9,123,444,256,206,34,579840,2007-9,0.021212748,0.076572848,0.04415011,0.035527042,0.005863687
2007,10,62,313,164,132,20,386146,2007-10,0.016056103131975988,0.081057424,0.042470982,0.034183962,0.005179388
2007,11,116,463,269,210,28,604587,2007-11,0.019186651383506427,0.076581203,0.044493182949683005,0.034734455,0.004631261
2007,12,118,487,257,201,25,579034,2007-12,0.020378769,0.084105597,0.044384267590504185,0.034712987492962415,0.004317536
2008,1,144,576,302,273,25,684004,2008-1,0.021052508,0.084210034,0.044151788586031665,0.039912047,0.003654949
2008,2,129,541,268,257,34,634240,2008-2,0.020339304,0.08529894,0.042255298,0.040520938,0.005360747
2008,3,154,564,317,350,26,699558,2008-3,0.0220139,0.080622336,0.045314327,0.050031591376269016,0.003716633
2008,4,128,503,295,254,15,614230,2008-4,0.020839099360174525,0.081891148,0.048027612,0.041352587792846326,0.002442082
2008,5,154,507,291,245,29,674384,2008-5,0.022835654,0.07517972,0.04315049,0.03632945,0.004300221
2008,6,195,543,306,276,22,717060,2008-6,0.027194377039578277,0.075725881,0.042674253200568994,0.038490502886787716,0.003068084
2008,7,214,553,351,344,23,779598,2008-7,0.027450044766661793,0.070933994,0.045023204266814436,0.044125305606222694,0.002950238
2008,8,213,543,359,308,26,750846,2008-8,0.028368000894990454,0.072318425,0.047812733902824284,0.041020396,0.003462761
